Date,Share Code,Year High (GHS),Year Low (GHS),Previous Closing Price VWAP (GHS),Opening Price (GHS),Closing Price VWAP (GHS),Price Change (GHS),Closing Bid Price (GHS),Last Transaction Price (GHS),Total Shares Traded,Closing Offer Price (GHS),,,,,,,,,,,
2018-12-10,AYRTN,0.1,0.08,0.08,0.08,0.08,0,,0.08,0,0.08,,,,,,,,,,,
2018-12-11,AYRTN,0.1,0.08,0.08,0.08,0.08,0,,0.08,0,0.08,,,,,,,,,,,
2018-12-12,AYRTN,0.1,0.08,0.08,0.08,0.08,0,,0.08,0,0.08,,,,,,,,,,,
2018-12-13,AYRTN,0.1,0.08,0.08,0.08,0.08,0,,0.08,0,0.08,,,,,,,,,,,
2018-12-14,AYRTN,0.1,0.08,0.08,0.08,0.08,0,,0.08,3000,0.08,,,,,,,,,,,
2018-12-17,AYRTN,0.1,0.08,0.08,0.08,0.08,0,,0.08,0,,,,,,,,,,,,
2018-12-18,AYRTN,0.1,0.08,0.08,0.08,0.08,0,,0.08,0,0.08,,,,,,,,,,,
2018-12-19,AYRTN,0.1,0.08,0.08,0.08,0.08,0,,0.08,0,0.08,,,,,,,,,,,
2018-12-20,AYRTN,0.1,0.08,0.08,0.08,0.08,0,,0.08,0,0.08,,,,,,,,,,,
2018-12-21,AYRTN,0.1,0.08,0.08,0.08,0.08,0,,0.08,0,0.08,,,,,,,,,,,
2018-12-24,AYRTN,0.1,0.07,0.08,0.08,0.07,-0.01,,0.07,5000,0.08,,,,,,,,,,,
2018-12-27,AYRTN,0.1,0.07,0.07,0.07,0.07,0,,0.07,0,0.08,,,,,,,,,,,
2018-12-28,AYRTN,0.1,0.07,0.07,0.07,0.07,0,,0.07,0,0.07,,,,,,,,,,,
2018-12-31,AYRTN,0.1,0.07,0.07,0.07,0.07,0,,0.07,0,"""Date",Share Code,Year High (GHS),Year Low (GHS),Previous Closing Price VWAP (GHS),Opening Price (GHS),Closing Price VWAP (GHS),Price Change (GHS),Closing Bid Price (GHS),Last Transaction Price (GHS),Total Shares Traded,Closing Offer Price (GHS)
2017-01-03,BOPP,2.08,2.08,2.08,2.08,2.08,0,2.08,2.08,800,,,,,,,,,,,,
2017-01-04,BOPP,2.08,2.08,2.08,2.08,2.08,0,2.08,2.08,500,,,,,,,,,,,,
2017-01-05,BOPP,2.08,2.08,2.08,2.08,2.08,0,2.08,2.08,0,,,,,,,,,,,,
2017-01-06,BOPP,2.08,2.08,2.08,2.08,2.08,0,2.08,2.08,100,,,,,,,,,,,,
2017-01-09,BOPP,2.08,2.08,2.08,2.08,2.08,0,2.08,2.08,0,,,,,,,,,,,,
2017-01-10,BOPP,2.08,2.08,2.08,2.08,2.08,0,2.08,2.08,0,,,,,,,,,,,,
2017-01-11,BOPP,2.08,2.08,2.08,2.08,2.08,0,2.08,2.08,0,,,,,,,,,,,,
2017-01-12,BOPP,2.08,2.08,2.08,2.08,2.08,0,2.08,2.08,0,,,,,,,,,,,,
2017-01-13,BOPP,2.08,2.08,2.08,2.08,2.08,0,2.08,2.08,0,,,,,,,,,,,,
2017-01-16,BOPP,2.08,2.08,2.08,2.08,2.08,0,2.08,2.08,200,,,,,,,,,,,,
2017-01-17,BOPP,2.08,2.08,2.08,2.08,2.08,0,2.08,2.08,300,,,,,,,,,,,,
2017-01-18,BOPP,2.08,2.08,2.08,2.08,2.08,0,2.08,2.08,0,,,,,,,,,,,,
2017-01-19,BOPP,2.08,2.08,2.08,2.08,2.08,0,2.08,2.08,0,,,,,,,,,,,,
2017-01-20,BOPP,2.08,2.08,2.08,2.08,2.08,0,2.08,2.08,100,,,,,,,,,,,,
2017-01-23,BOPP,2.08,2.08,2.08,2.08,2.08,0,2.08,2.08,0,,,,,,,,,,,,
2017-01-24,BOPP,2.08,2.08,2.08,2.08,2.08,0,2.08,2.08,0,,,,,,,,,,,,
2017-01-25,BOPP,2.09,2.08,2.08,2.08,2.09,0.01,2.09,2.09,1000,,,,,,,,,,,,
2017-01-26,BOPP,2.09,2.08,2.09,2.09,2.09,0,2.1,2.09,0,,,,,,,,,,,,
2017-01-27,BOPP,2.09,2.08,2.09,2.09,2.09,0,2.11,2.09,0,,,,,,,,,,,,
2017-01-30,BOPP,2.09,2.08,2.09,2.09,2.09,0,2.11,2.09,0,,,,,,,,,,,,
2017-01-31,BOPP,2.11,2.08,2.09,2.09,2.11,0.02,2.11,2.11,200,,,,,,,,,,,,
2017-02-01,BOPP,2.11,2.08,2.11,2.11,2.11,0,2.11,2.11,0,,,,,,,,,,,,
2017-02-02,BOPP,2.11,2.08,2.11,2.11,2.11,0,2.13,2.11,0,,,,,,,,,,,,
2017-02-03,BOPP,2.12,2.08,2.11,2.11,2.12,0.01,2.14,2.12,800,,,,,,,,,,,,
2017-02-06,BOPP,2.14,2.08,2.12,2.12,2.14,0.02,2.13,2.14,1400,,,,,,,,,,,,
2017-02-07,BOPP,2.16,2.08,2.14,2.14,2.16,0.02,2.15,2.16,1400,,,,,,,,,,,,
2017-02-08,BOPP,2.16,2.08,2.16,2.16,2.16,0,2.16,2.16,0,,,,,,,,,,,,
2017-02-09,BOPP,2.17,2.08,2.16,2.16,2.17,0.01,2.18,2.17,1400,,,,,,,,,,,,
2017-02-10,BOPP,2.21,2.08,2.17,2.17,2.21,0.04,2.21,2.21,300,,,,,,,,,,,,
2017-02-13,BOPP,2.21,2.08,2.21,2.17,2.21,0,2.22,2.21,0,,,,,,,,,,,,
2017-02-14,BOPP,2.21,2.08,2.21,2.17,2.21,0,2.22,2.21,0,,,,,,,,,,,,
2017-02-15,BOPP,2.21,2.08,2.21,2.21,2.21,0,2.22,2.21,0,,,,,,,,,,,,
2017-02-16,BOPP,2.21,2.08,2.21,2.21,2.21,0,2.24,2.21,0,,,,,,,,,,,,
2017-02-17,BOPP,2.21,2.08,2.21,2.21,2.21,0,2.24,2.21,0,,,,,,,,,,,,
2017-02-20,BOPP,2.21,2.08,2.21,2.21,2.21,0,2.23,2.21,0,,,,,,,,,,,,
2017-02-21,BOPP,2.21,2.08,2.21,2.21,2.21,0,2.25,2.21,0,,,,,,,,,,,,
2017-02-22,BOPP,2.21,2.08,2.21,2.21,2.21,0,2.32,2.21,0,,,,,,,,,,,,
2017-02-23,BOPP,2.21,2.08,2.21,2.21,2.21,0,2.33,2.21,0,,,,,,,,,,,,
2017-02-24,BOPP,2.5,2.08,2.21,2.21,2.5,0.29,2.3,2.5,600,,,,,,,,,,,,
2017-02-27,BOPP,2.5,2.08,2.5,2.5,2.5,0,2.46,2.5,0,2.55,,,,,,,,,,,
2017-02-28,BOPP,2.5,2.08,2.5,2.5,2.46,-0.04,2.45,2.5,1100,,,,,,,,,,,,
2017-03-01,BOPP,2.82,2.08,2.46,2.5,2.82,0.36,2.49,2.5,1300,,,,,,,,,,,,
2017-03-02,BOPP,2.82,2.08,2.82,2.5,2.82,0,2.5,2.5,0,,,,,,,,,,,,
2017-03-03,BOPP,2.82,2.08,2.82,2.82,2.82,0,2.82,2.5,300,,,,,,,,,,,,
2017-03-07,BOPP,2.82,2.08,2.82,2.82,2.82,0,2.82,2.5,0,,,,,,,,,,,,
2017-03-08,BOPP,2.82,2.08,2.82,2.82,2.82,0,2.82,2.5,60300,,,,,,,,,,,,
2017-03-09,BOPP,2.82,2.08,2.82,2.82,2.82,0,2.82,2.5,0,,,,,,,,,,,,
2017-03-10,BOPP,2.82,2.08,2.82,2.82,2.82,0,2.82,2.5,0,,,,,,,,,,,,
2017-03-13,BOPP,2.82,2.08,2.82,2.82,2.82,0,2.82,2.5,0,,,,,,,,,,,,
2017-03-14,BOPP,2.82,2.08,2.82,2.82,2.82,0,2.82,2.5,5400,,,,,,,,,,,,
2017-03-15,BOPP,2.85,2.08,2.82,2.82,2.85,0.03,2.85,2.85,300,,,,,,,,,,,,
2017-03-16,BOPP,2.85,2.08,2.85,2.85,2.85,0,2.86,2.85,0,,,,,,,,,,,,
