"account no","rate pa","rateable value","current amount",arrears,"rate impose","total paid","account balance","bill type","bill year ","bill date"
BB-AY00113,625,0,625,0,,0,625,b,2018,"2018-12-20 00:00:00"
PR-AY00672,0,0,150,0,,0,150,p,2018,"2018-12-24 00:00:00"
PR-AY00670,0.0025,0,200,0,,0,200,p,2018,"2018-12-24 00:00:00"
BB-AY00112,200,0,200,0,,0,200,b,2018,"2018-12-20 00:00:00"
BB-AY00111,200,0,200,0,,0,200,b,2018,"2018-12-20 00:00:00"
BB-AY00109,100,0,100,0,,0,100,b,2018,"2018-12-20 00:00:00"
PR-AY00668,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00666,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00664,0,0,60,0,,0,60,p,2018,"2018-12-24 00:00:00"
PR-AY00662,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00660,0,0,60,0,,0,60,p,2018,"2018-12-24 00:00:00"
PR-AY00658,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
BB-AY00108,200,0,200,0,,0,200,b,2018,"2018-12-20 00:00:00"
PR-AY00656,0,0,50,0,,0,50,p,2018,"2018-12-24 00:00:00"
PR-AY00654,0,0,75,0,,0,75,p,2018,"2018-12-24 00:00:00"
PR-AY00652,0,0,50,0,,0,50,p,2018,"2018-12-24 00:00:00"
PR-AY00650,0,0,85,0,,0,85,p,2018,"2018-12-24 00:00:00"
PR-OMA00648,0,0,50,0,,0,50,p,2018,"2018-12-24 00:00:00"
PR-AY00646,0,0,50,0,,0,50,p,2018,"2018-12-24 00:00:00"
PR-AY00644,0,0,30,0,,0,30,p,2018,"2018-12-24 00:00:00"
PR-AY00642,0,0,85,0,,0,85,p,2018,"2018-12-24 00:00:00"
PR-AY00640,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00638,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00636,0,0,60,0,,0,60,p,2018,"2018-12-24 00:00:00"
PR-AY00634,0.0025,0,200,0,,0,200,p,2018,"2018-12-24 00:00:00"
PR-OMA00632,0,0,70,0,,0,70,p,2018,"2018-12-24 00:00:00"
PR-AY00630,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00626,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00624,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00622,0,0,75,0,,0,75,p,2018,"2018-12-24 00:00:00"
PR-AY00620,0,0,100,0,,0,100,p,2018,"2018-12-24 00:00:00"
BB-AY00106,1000,0,1000,0,,0,1000,b,2018,"2018-12-18 00:00:00"
PR-AY00618,0,0,150,0,,0,150,p,2018,"2018-12-24 00:00:00"
PR-AY00616,0,0,75,0,,0,75,p,2018,"2018-12-24 00:00:00"
BB-AY00105,300,0,300,0,,0,300,b,2018,"2018-12-17 00:00:00"
PR-AY00614,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00612,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00610,0,0,100,0,,0,100,p,2018,"2018-12-24 00:00:00"
PR-AY00608,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00606,0.0025,0,200,0,,0,200,p,2018,"2018-12-24 00:00:00"
PR-AY00604,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-OMA00602,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00600,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00598,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00596,0,0,70,0,,0,70,p,2018,"2018-12-24 00:00:00"
PR-AY00594,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00592,0,0,72,0,,0,72,p,2018,"2018-12-24 00:00:00"
